,Afrikaans,Breton_ST,Catalan,Cornish,Danish,Dutch_List,English,Faroese,Flemish,French,Frisian,Friulian,German,Gothic,Icelandic_ST,Irish_B,Italian,Ladin,Latin,Latin_M,Latin_preserved,Luxembourgish,Norwegian,Old_English,Old_High_German,Old_Irish,Old_Norse,Portuguese_ST,Provencal,Romansh,Rumanian_List,Sardinian_C,Sardinian_N,Schwyzerdutsch,Scots_Gaelic,Spanish,Swedish,Walloon,Welsh_N
count,0.035646862853970014,0.17745696835091615,0.6312048861743476,0.17745696835091615,0.9026096612992782,0.025541365907828985,0.9811215991116047,0.04175458078845086,0.31149361465852304,0.4244308717379234,0.24064408661854525,0.5232648528595225,0.09072737368128818,0.04286507495835647,0.024208772903942254,0.07151582454192115,0.6218767351471405,0.6191004997223765,0.0031093836757357025,0.5174902831760133,0.5174902831760133,0.09983342587451416,0.14114380899500278,0.04897279289283731,0.018656302054414216,0.0719600222098834,0.015991116046640753,0.5770127706829539,0.4288728484175458,0.45163797890061075,0.007329261521377013,0.7373681288173237,0.7384786229872293,0.11660188784008883,0.0719600222098834,0.7008328706274292,0.7299278178789561,0.44097723486951695,0.6762909494725152
cut,0.10627429205996669,0.02509716823986674,0.08350916157690172,0.02498611882287618,0.21254858411993338,0.06529705719044974,0.5686840644086618,0.126929483620211,0.10394225430316491,0.06474181010549694,0.09505830094392004,0.0586340921710161,0.5412548584119934,0.005330372015546919,0.03709050527484731,0.010105496946141032,0.04342032204330927,0.05519156024430872,0.004219877845641311,0.5377012770682954,0.5377012770682954,0.5313714602998334,0.22387562465297056,0.50694058856191,0.004664075513603554,0.010216546363131594,0.024097723486951692,0.11582454192115492,0.059078289838978344,0.1357023875624653,0.012881732370905053,0.010882842865074958,0.010882842865074958,0.5344808439755692,0.010216546363131594,0.11582454192115492,0.049305941143809,0.06018878400888395,0.044086618545252636
day,0.14480843975569127,0.8021099389228207,0.25963353692393115,0.8021099389228207,0.3665741254858412,0.110494169905608,0.21399222654081065,0.11082731815657967,0.14714047751249307,0.16735147140477513,0.1888950583009439,0.25563575791227094,0.26096612992781787,0.001998889505830094,0.017545807884508605,0.0052193225985563575,0.2246529705719045,0.17801221543586895,0.0012215435868961689,0.21710161021654636,0.21710161021654636,0.2679622431982232,0.24686285397001664,0.09594669627984453,0.003331482509716824,0.005108273181565797,0.006662965019433648,0.2725152692948362,0.1523598001110494,0.25252637423653523,0.0064408661854525266,0.13836757357023877,0.2065519156024431,0.26329816768461967,0.005108273181565797,0.3230427540255414,0.21843420322043308,0.22987229317046085,0.8022209883398113
die,0.4424208772903942,0.7425874514158801,0.2615213770127707,0.7425874514158801,0.10982787340366464,0.15169350360910605,0.9146029983342587,0.04608550805108273,0.11804553026096613,0.16812881732370905,0.14658523042754026,0.25896724042198777,0.14536368684064407,0.0032204330927262633,0.03387007218212104,0.011882287617990005,0.23298167684619656,0.1782343142698501,0.002220988339811216,0.23187118267629095,0.23187118267629095,0.13103831204886174,0.6266518600777345,0.003886729594669628,0.0029983342587451417,0.012104386451971127,0.0035535813436979456,0.2689616879511383,0.14547473625763466,0.2478622987229317,0.00832870627429206,0.15147140477512494,0.22343142698500834,0.14014436424208773,0.011882287617990005,0.31549139367018325,0.015991116046640753,0.2306496390893948,0.7430316490838423
dig,0.3563575791227096,0.007329261521377013,0.09017212659633538,0.007329261521377013,0.3349250416435314,0.10882842865074958,0.0966129927817879,0.10827318156579678,0.11737923375902276,0.08139922265408106,0.2852859522487507,0.07062742920599667,0.21021654636313158,0.0036646307606885064,0.014103275957801222,0.017101610216546364,0.13192670738478623,0.08217656857301499,0.009106052193225985,0.018545252637423654,0.018545252637423654,0.23575791227096057,0.19189339255968907,0.013103831204886174,0.003775680177679067,0.017656857301499167,0.005996668517490283,0.12370905052748474,0.030982787340366462,0.1084952803997779,0.0035535813436979456,0.19622431982232094,0.2654081066074403,0.22609661299278178,0.017434758467518047,0.16313159355913381,0.15746807329261522,0.15424764019988896,0.0334258745141588
dirty,0.5492504164353137,0.032426429761243755,0.40299833425874515,0.03231538034425319,0.9369239311493615,0.525152692948362,0.04175458078845086,0.02343142698500833,0.5493614658523043,0.20444197667962244,0.5496946141032759,0.2418656302054414,0.04230982787340366,0.005330372015546919,0.007440310938367573,0.008883953359244865,0.1985563575791227,0.2515269294836202,0.05385896724042199,0.47584675180455305,0.47584675180455305,0.031204886174347586,0.053636868406440864,0.01254858411993337,0.007662409772348695,0.008772903942254303,0.0052193225985563575,0.38223209328151025,0.20133259300388673,0.27851193781232647,0.008883953359244865,0.019766796224319823,0.02531926707384786,0.031204886174347586,0.008772903942254303,0.38078845086063295,0.1490283176013326,0.2734036646307607,0.04386451971127152
dog,0.1640199888950583,0.11093836757357024,0.41987784564131037,0.1110494169905608,0.3782343142698501,0.1258189894503054,0.2887284841754581,0.12759578012215436,0.1616879511382565,0.44119933370349806,0.19666851749028316,0.25685730149916713,0.2706274292059967,0.02343142698500833,0.031538034425319265,0.02531926707384786,0.23153803442531926,0.19100499722376457,0.0858411993337035,0.23742365352581898,0.23742365352581898,0.2818434203220433,0.26096612992781787,0.11471404775124931,0.01965574680732926,0.025541365907828985,0.023209328151027206,0.4840644086618545,0.40155469183786785,0.26141032759578015,0.010105496946141032,0.1450305385896724,0.20355358134369794,0.2694058856191005,0.025652415324819544,0.4668517490283176,0.23220433092726264,0.49228206551915604,0.20044419766796223
drink,0.14436424208772905,0.12359800111049417,0.2649639089394781,0.12370905052748474,0.3640199888950583,0.11027207107162687,0.20266518600777345,0.10427540255413659,0.14403109383675736,0.1711271515824542,0.1897834536368684,0.2677401443642421,0.25985563575791226,0.0013325930038867297,0.01799000555247085,0.009217101610216546,0.23520266518600777,0.18389783453636868,0.00555247084952804,0.21510272071071626,0.21510272071071626,0.25763464741810105,0.24797334813992228,0.09483620210993893,0.002220988339811216,0.009439200444197668,0.00688506385341477,0.2875069405885619,0.15313714602998335,0.2580788450860633,0.007662409772348695,0.13237090505274848,0.20355358134369794,0.25763464741810105,0.009106052193225985,0.3320377568017768,0.2153248195446974,0.23664630760688507,0.21521377012770682
dry,0.3583564686285397,0.044975013881177126,0.38267629094947253,0.04464186563020544,0.12892837312604108,0.32903942254303165,0.01521377012770683,0.10660744031093837,0.3553581343697946,0.1946696279844531,0.36990560799555805,0.159800111049417,0.5940033314825097,0.008106607440310939,0.01243753470294281,0.019988895058300944,0.08184342032204331,0.3164908384230983,0.0031093836757357025,0.195446973903387,0.195446973903387,0.5947806774014437,0.1793448084397557,0.008883953359244865,0.007551360355358134,0.02076624097723487,0.007995558023320377,0.4624097723486952,0.1682398667406996,0.5596890616324264,0.007995558023320377,0.22543031649083842,0.2865074958356469,0.5901166018878401,0.02043309272626319,0.6295391449194891,0.01654636313159356,0.25308162132148804,0.04708495280399778
dull,0.5213770127706829,0.09283731260410882,0.42276513048306497,0.09305941143808995,0.24630760688506384,0.4957245974458634,0.05841199333703498,0.11371460299833426,0.5119378123264853,0.2082176568573015,0.5146029983342587,0.2661854525263742,0.931482509716824,0.03187118267629095,0.017545807884508605,0.013548028872848417,0.5193781232648529,0.19244863964464187,0.07307051637978901,0.21765685730149917,0.21765685730149917,0.9317046085508051,0.6189894503053859,0.02343142698500833,0.018878400888395337,0.013548028872848417,0.012104386451971127,0.49072737368128816,0.18312048861743477,0.31571349250416436,0.008772903942254303,0.1203775680177679,0.1897834536368684,0.9308162132148806,0.013548028872848417,0.49061632426429763,0.051193781232648526,0.26252082176568575,0.11204886174347585
